ARPT_ID,ARPT_NAME,CITY,STATE_NAME,predicted_score,cert_importance_score,is_military_relevant,LAT_DECIMAL,LONG_DECIMAL
UUO,WILLOW,WILLOW,ALASKA,80.05916463666667,0.0,1,61.75418888,-150.05173888
OBI,WOODBINE MUNI,WOODBINE,NEW JERSEY,79.97398329016823,0.0,1,39.21913888,-74.79475
FDR,FREDERICK RGNL,FREDERICK,OKLAHOMA,79.8884120950937,0.0,1,34.3520958,-98.98390908
GUS,GRISSOM ARB,PERU,INDIANA,79.70827937211945,0.0,1,40.64809166,-86.15211944
0S9,JEFFERSON COUNTY INTL,PORT TOWNSEND,WASHINGTON,79.69769344745211,0.0,1,48.05380555,-122.81063888
OWK,CENTRAL MAINE/NORRIDGEWOCK,NORRIDGEWOCK,MAINE,79.68829593708733,0.0,1,44.7155,-69.86647222
PNN,PRINCETON MUNI,PRINCETON,MAINE,79.68829593708733,0.0,1,45.20065972,-67.56439888
X59,VALKARIA,VALKARIA,FLORIDA,79.64496689467362,0.0,1,27.96086555,-80.55832777
X26,SEBASTIAN MUNI,SEBASTIAN,FLORIDA,79.62804025031107,0.0,1,27.81325,-80.49558333
EZI,KEWANEE MUNI,KEWANEE,ILLINOIS,79.62312990452398,0.0,1,41.20519444,-89.96386111
ONY,OLNEY MUNI,OLNEY,TEXAS,79.61039669734751,0.0,1,33.35088888,-98.81916666
PWD,SHER-WOOD,PLENTYWOOD,MONTANA,79.60178322358094,0.0,1,48.79051555,-104.52373833
UCP,NEW CASTLE MUNI,NEW CASTLE,PENNSYLVANIA,79.55681754690282,0.0,1,41.02533305,-80.41336277
1B0,DEXTER RGNL,DEXTER,MAINE,79.53394600120434,0.0,1,45.0045075,-69.23743666
CIR,CAIRO RGNL,CAIRO,ILLINOIS,79.52188091037083,0.0,1,37.06413888,-89.21952777
OWP,WILLIAM R POGUE MUNI,SAND SPRINGS,OKLAHOMA,79.4958960410494,0.0,1,36.17527777,-96.15183333
DAW,SKYHAVEN,ROCHESTER,NEW HAMPSHIRE,79.47641584252956,0.0,1,43.28423483,-70.9295495
HRU,HERINGTON RGNL,HERINGTON,KANSAS,79.4626171988009,0.0,1,38.69472222,-96.80797222
HIE,MOUNT WASHINGTON RGNL,WHITEFIELD,NEW HAMPSHIRE,79.45586084866962,0.0,1,44.36755555,-71.54580555
RCM,SKYHAVEN,WARRENSBURG,MISSOURI,79.45243566320771,0.0,1,38.78417111,-93.80285416
SLO,SALEM-LECKRONE,SALEM,ILLINOIS,79.42390454541196,0.0,1,38.64287222,-88.96418527
FTT,ELTON HENSLEY MEML,FULTON,MISSOURI,79.42063189490815,0.0,1,38.83811111,-92.00258333
79S,FORT BENTON,FORT BENTON,MONTANA,79.40137544854952,0.0,1,47.84418888,-110.63686111
1K4,DAVID JAY PERRY,GOLDSBY,OKLAHOMA,79.39965408084956,0.0,1,35.1550675,-97.47039388
LZD,DANIELSON,DANIELSON,CONNECTICUT,79.3413985639602,0.0,1,41.81975,-71.90097222
SET,ST CHARLES COUNTY RGNL/SMARTT FLD,ST CHARLES,MISSOURI,79.30199789430822,0.0,1,38.92969444,-90.42997222
F01,QUANAH MUNI,QUANAH,TEXAS,79.2959134216678,0.0,1,34.27711083,-99.75968166
Y19,MANDAN RGNL/LAWLER FLD,MANDAN,NORTH DAKOTA,79.29058626745767,0.0,1,46.76797222,-100.89436111
3O4,SAYRE MUNI,SAYRE,OKLAHOMA,79.28170097032653,0.0,1,35.16770916,-99.65780611
PLU,PIERCE COUNTY/THUN FLD,PUYALLUP,WASHINGTON,79.28065726981525,0.0,1,47.10392,-122.28720027
PKD,PARK RAPIDS MUNI/KONSHOK FLD,PARK RAPIDS,MINNESOTA,79.26890101449715,0.0,1,46.9012038,-95.07310625
MVI,MONTE VISTA MUNI,MONTE VISTA,COLORADO,79.24835301429425,0.0,1,37.52872611,-106.04589777
08K,HARVARD STATE,HARVARD,NEBRASKA,79.23856768884593,0.0,1,40.65133333,-98.07988888
W78,WILLIAM M TUCK,SOUTH BOSTON,VIRGINIA,79.21324599836998,0.0,1,36.70937241,-78.84833747
LTY,LIBERTY COUNTY,CHESTER,MONTANA,79.20216323041915,0.0,1,48.51072222,-110.99086388
OLF,L M CLAYTON,WOLF POINT,MONTANA,79.19481806743786,0.0,1,48.0945,-105.57505555
